SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTER DO CHÃO (18L/01UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,ALTO DA FOZ DO GIRALDO (13K/05UG),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
10/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
11/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
12/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
13/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
14/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
15/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
16/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
17/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
18/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
19/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
20/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
21/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
22/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
23/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
24/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
25/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
26/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
27/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
28/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
29/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
30/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
31/10/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
01/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
02/11/1985 09:00,,,6.2,(vco),,,,,,,24.4,(vco),,,,,
03/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
04/11/1985 09:00,,,11.4,(vco),,,,,,,32.2,(vco),,,,,
05/11/1985 09:00,,,19.2,(vco),,,,,,,23.2,(vco),,,,,
06/11/1985 09:00,,,0,(vco),,,,,,,11.6,(vco),,,,,
07/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
08/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
09/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
10/11/1985 09:00,,,0,(vco),,,,,,,0,(vco),,,,,
