SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ABRIGADA (19C/03G),,ABRIGADA (19C/03G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
07/04/1992 09:00,10.3,(vco),,,
08/04/1992 09:00,0.2,(vco),,,
09/04/1992 09:00,0,(vco),,,
10/04/1992 09:00,0,(vco),,,
11/04/1992 09:00,0,(vco),,,
12/04/1992 09:00,0,(vco),,,
13/04/1992 09:00,0,(vco),,,
14/04/1992 09:00,0,(vco),,,
15/04/1992 09:00,0,(vco),,,
16/04/1992 09:00,0,(vco),,,
17/04/1992 09:00,0,(vco),,,
18/04/1992 09:00,0,(vco),,,
19/04/1992 09:00,0,(vco),,,
20/04/1992 09:00,0,(vco),,,
21/04/1992 09:00,0,(vco),,,
22/04/1992 09:00,0,(vco),,,
23/04/1992 09:00,0,(vco),,,
24/04/1992 09:00,0,(vco),,,
25/04/1992 09:00,0,(vco),,,
26/04/1992 09:00,0,(vco),,,
27/04/1992 09:00,0,(vco),,,
28/04/1992 09:00,0,(vco),,,
29/04/1992 09:00,0,(vco),,,
30/04/1992 09:00,0,(vco),,,
01/05/1992 09:00,0,(vco),,,
02/05/1992 09:00,0,(vco),,,
03/05/1992 09:00,0,(vco),,,
04/05/1992 09:00,0,(vco),,,
05/05/1992 09:00,0,(vco),,,
06/05/1992 09:00,0,(vco),,,
07/05/1992 09:00,0,(vco),,,
08/05/1992 09:00,0,(vco),,,
09/05/1992 09:00,0,(vco),,,
10/05/1992 09:00,0,(vco),,,
11/05/1992 09:00,0,(vco),,,
12/05/1992 09:00,0,(vco),,,
13/05/1992 09:00,0,(vco),,,
14/05/1992 09:00,0,(vco),,,
15/05/1992 09:00,0,(vco),,,
16/05/1992 09:00,0,(vco),,,
17/05/1992 09:00,0,(vco),,,
18/05/1992 09:00,0,(vco),,,
19/05/1992 09:00,0,(vco),,,
20/05/1992 09:00,0,(vco),,,
21/05/1992 09:00,0,(vco),,,
22/05/1992 09:00,0,(vco),,,
23/05/1992 09:00,5.3,(vco),,,
24/05/1992 09:00,0,(vco),,,
25/05/1992 09:00,0,(vco),,,
26/05/1992 09:00,0,(vco),,,
27/05/1992 09:00,6.5,(vco),,,
28/05/1992 09:00,5,(vco),,,
29/05/1992 09:00,25.7,(vco),,,
30/05/1992 09:00,2.2,(vco),,,
31/05/1992 09:00,0,(vco),,,
01/06/1992 09:00,1.4,(vco),,,
