SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,CRESPOS (16E/01UG),,CRESPOS (16E/01UG),,CUBA (24J/03UG),,CUBA (24J/03UG),,CUBALHÃO (01H/05G),,CUBALHÃO (01H/05G),,CUMEEIRA (06K/03U),,CUMEEIRA (06K/03U),,CUMIEIRA (14G/04UG),,CUMIEIRA (14G/04UG),,CÔJA (12J/01UG),,CÔJA (12J/01UG),,DEGOLADOS (19O/03UG),,DEGOLADOS (19O/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
26/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
27/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
28/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
29/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
30/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
31/08/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
01/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
02/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
03/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
04/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
05/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
06/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
07/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
08/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
09/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0.2,(vco),,,
10/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
11/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
12/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
13/09/1985 09:00,5,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
14/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
15/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
16/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
17/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0.6,(vco),,,0,(vco),,,
18/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,8,(vco),,,0,(vco),,,
19/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
20/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,5.1,(vco),,,0,(vco),,,
21/09/1985 09:00,3,(vco),,,0,(vco),,,0,(vco),,,,,,,11,(vco),,,0,(vco),,,4.3,(vco),,,
22/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
23/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
24/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
25/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
26/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
27/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
28/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
29/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
30/09/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
01/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
02/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
03/10/1985 09:00,3,(vco),,,0,(vco),,,1,(vco),,,,,,,2,(vco),,,5.2,(vco),,,0.3,(vco),,,
04/10/1985 09:00,2.5,(vco),,,0,(vco),,,24,(vco),,,,,,,2.5,(vco),,,7.4,(vco),,,0,(vco),,,
05/10/1985 09:00,0,(vco),,,0,(vco),,,4.5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
06/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
07/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
08/10/1985 09:00,0,(vco),,,0,(vco),,,5,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
09/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
10/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
11/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
12/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
13/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,
