SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALGÉS (21B/06G),,ALGÉS (21B/06G),,ALHASTROS (CARAPINHEIRA) (12F/04U),,ALHASTROS (CARAPINHEIRA) (12F/04U),,ALJEZUR (30E/01UG),,ALJEZUR (30E/01UG),,ALJUBARROTA (16D/01UG),,ALJUBARROTA (16D/01UG),,ALJUSTREL (26I/03UG),,ALJUSTREL (26I/03UG),,ALMACEDA (14K/01U),,ALMACEDA (14K/01U),,ALMAÇA (11H/01UG),,ALMAÇA (11H/01UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
26/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
27/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
28/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/09/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/10/1985 09:00,,,,,,,,,0,(vco),,,5,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/10/1985 09:00,,,,,,,,,0,(vco),,,6,(vco),,,0,(vco),,,,,,,0,(vco),,,
03/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,1.4,(vco),,,
04/10/1985 09:00,,,,,,,,,6.1,(vco),,,0,(vco),,,1,(vco),,,,,,,0,(vco),,,
05/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,7.8,(vco),,,
06/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
07/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
08/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
11/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
12/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
13/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
15/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
16/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
17/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
18/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
19/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
20/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
21/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
22/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
23/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
24/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
25/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
26/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
27/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
28/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
29/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
30/10/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
31/10/1985 09:00,,,,,,,,,2,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
01/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
02/11/1985 09:00,,,,,,,,,1.6,(vco),,,9.5,(vco),,,6,(vco),,,,,,,20.8,(vco),,,
03/11/1985 09:00,,,,,,,,,0,(vco),,,6.3,(vco),,,0,(vco),,,,,,,1.9,(vco),,,
04/11/1985 09:00,,,,,,,,,0.3,(vco),,,18.2,(vco),,,0,(vco),,,,,,,24.8,(vco),,,
05/11/1985 09:00,,,,,,,,,8.5,(vco),,,10.1,(vco),,,12,(vco),,,,,,,28.1,(vco),,,
06/11/1985 09:00,,,,,,,,,0,(vco),,,5.1,(vco),,,0,(vco),,,,,,,11.2,(vco),,,
07/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,2.6,(vco),,,
08/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
09/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
10/11/1985 09:00,,,,,,,,,0,(vco),,,6.1,(vco),,,0,(vco),,,,,,,2,(vco),,,
11/11/1985 09:00,,,,,,,,,0,(vco),,,9.3,(vco),,,0,(vco),,,,,,,18.4,(vco),,,
12/11/1985 09:00,,,,,,,,,0,(vco),,,30.3,(vco),,,0,(vco),,,,,,,20,(vco),,,
13/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
14/11/1985 09:00,,,,,,,,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,
