SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,OTA (19D/02UG),,OTA (19D/02UG),,OUTEIRO (03J/02UG),,OUTEIRO (03J/02UG),,PADERNE (30H/05UG),,PADERNE (30H/05UG),,PADRELA (04M/01UG),,PADRELA (04M/01UG),,PALHEIROS (05M/02U),,PALHEIROS (05M/02U),,PALME (04E/03UG),,PALME (04E/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,PAMPILHOSA DA SERRA (13J/03UG),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
04/10/1985 09:00,0,(vco),,,15,(vco),,,0,(vco),,,2.5,(vco),,,,,,,17.3,(vco),,,1.6,(vco),,,
05/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,3.1,(vco),,,,,,,0,(vco),,,0,(vco),,,
06/10/1985 09:00,0,(vco),,,3,(vco),,,0,(vco),,,0.2,(vco),,,,,,,2,(vco),,,0,(vco),,,
07/10/1985 09:00,0,(vco),,,7,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
08/10/1985 09:00,0,(vco),,,3,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
09/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
10/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
11/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
12/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
13/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
14/10/1985 09:00,0,(vco),,,0,(vco),,,0,(vco),,,0,(vco),,,,,,,0,(vco),,,0,(vco),,,
