SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,ALVORNINHA (17C/06G),,ALVORNINHA (17C/06G),,
,Precipitação diária (mm),FLAG,Velocidade do vento média diária (m/s),FLAG,
24/06/1986 09:00,0,(vco),,,
25/06/1986 09:00,0,(vco),,,
26/06/1986 09:00,0,(vco),,,
27/06/1986 09:00,2,(vco),,,
28/06/1986 09:00,0,(vco),,,
29/06/1986 09:00,0,(vco),,,
30/06/1986 09:00,0,(vco),,,
01/07/1986 09:00,0,(vco),,,
02/07/1986 09:00,0,(vco),,,
03/07/1986 09:00,0,(vco),,,
04/07/1986 09:00,0,(vco),,,
05/07/1986 09:00,0,(vco),,,
06/07/1986 09:00,0,(vco),,,
07/07/1986 09:00,0,(vco),,,
08/07/1986 09:00,0,(vco),,,
09/07/1986 09:00,0,(vco),,,
10/07/1986 09:00,0,(vco),,,
11/07/1986 09:00,0,(vco),,,
12/07/1986 09:00,0,(vco),,,
13/07/1986 09:00,0,(vco),,,
14/07/1986 09:00,0,(vco),,,
15/07/1986 09:00,0,(vco),,,
16/07/1986 09:00,0,(vco),,,
17/07/1986 09:00,0,(vco),,,
18/07/1986 09:00,0,(vco),,,
19/07/1986 09:00,0,(vco),,,
20/07/1986 09:00,0,(vco),,,
21/07/1986 09:00,0,(vco),,,
22/07/1986 09:00,0,(vco),,,
23/07/1986 09:00,0,(vco),,,
24/07/1986 09:00,0,(vco),,,
25/07/1986 09:00,0,(vco),,,
26/07/1986 09:00,0,(vco),,,
27/07/1986 09:00,0,(vco),,,
28/07/1986 09:00,0,(vco),,,
29/07/1986 09:00,0,(vco),,,
30/07/1986 09:00,0,(vco),,,
31/07/1986 09:00,0,(vco),,,
01/08/1986 09:00,0,(vco),,,
02/08/1986 09:00,0,(vco),,,
03/08/1986 09:00,0,(vco),,,
04/08/1986 09:00,0,(vco),,,
05/08/1986 09:00,0,(vco),,,
06/08/1986 09:00,0,(vco),,,
07/08/1986 09:00,0,(vco),,,
08/08/1986 09:00,0,(vco),,,
09/08/1986 09:00,0,(vco),,,
10/08/1986 09:00,0,(vco),,,
11/08/1986 09:00,0,(vco),,,
