SNIRH - SISTEMA NACIONAL DE INFORMAÇÃO DE RECURSOS HÍDRICOS

DATA,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIATODOS (05F/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDAGO (04L/01UG),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,VIDIGAL (30F/05C),,
,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,Humidade relativa média diária (%),FLAG,Precipitação diária (mm),FLAG,Temperatura do ar média diária (°C),FLAG,Velocidade do vento média diária (m/s),FLAG,
25/12/1985 09:00,,,70.1,(vco),,,,,,,,,,,,,,,7.3,(vco),,,,,
26/12/1985 09:00,,,50.4,(vco),,,,,,,,,,,,,,,0.8,(vco),,,,,
27/12/1985 09:00,,,45.6,(vco),,,,,,,,,,,,,,,7.8,(vco),,,,,
28/12/1985 09:00,,,15.4,(vco),,,,,,,,,,,,,,,17.4,(vco),,,,,
29/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,10.6,(vco),,,,,
30/12/1985 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
31/12/1985 09:00,,,7.4,(vco),,,,,,,,,,,,,,,0.1,(vco),,,,,
01/01/1986 09:00,,,27.7,(vco),,,,,,,,,,,,,,,6.5,(vco),,,,,
02/01/1986 09:00,,,54.2,(vco),,,,,,,,,,,,,,,2.5,(vco),,,,,
03/01/1986 09:00,,,22.5,(vco),,,,,,,,,,,,,,,4.5,(vco),,,,,
04/01/1986 09:00,,,5.1,(vco),,,,,,,,,,,,,,,3.1,(vco),,,,,
05/01/1986 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
06/01/1986 09:00,,,10,(vco),,,,,,,,,,,,,,,4,(vco),,,,,
07/01/1986 09:00,,,11.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
08/01/1986 09:00,,,22.4,(vco),,,,,,,,,,,,,,,26.7,(vco),,,,,
09/01/1986 09:00,,,0,(vco),,,,,,,,,,,,,,,3.7,(vco),,,,,
10/01/1986 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
11/01/1986 09:00,,,6.4,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
12/01/1986 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
13/01/1986 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
14/01/1986 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
15/01/1986 09:00,,,0,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
16/01/1986 09:00,,,4.2,(vco),,,,,,,,,,,,,,,0,(vco),,,,,
